3301
0 1 2 3
638 86 76 185
639 76 233 283
271 280 282 342
639 638 76 283
294 383 380 543
57 309 378 382
535 380 564 543
627 537 311 380
293 310 294 380
536 294 292 310
57 59 378 381
537 310 311 380
597 418 55 419
72 148 302 312
166 168 167 172
602 295 514 574
166 381 295 514
167 174 168 459
35 210 215 217
510 362 217 483
511 441 216 217
511 216 376 480
361 206 362 483
577 637 640 158
484 209 375 641
52 331 324 417
392 34 214 368
30 113 315 332
29 171 167 170
437 420 171 432
434 171 170 431
437 642 171 420
642 303 171 420
643 644 429 582
644 350 429 582
643 429 249 582
228 359 229 425
147 152 196 343
433 436 437 432
225 636 227 593
447 429 645 469
447 446 429 448
116 136 323 424
645 429 350 469
226 579 620 227
277 415 424 490
619 137 321 424
62 64 63 67
277 278 279 424
646 279 424 442
646 619 647 424
415 125 137 424
619 321 647 424
647 424 321 442
277 415 619 424
97 161 164 593
636 637 158 165
648 548 164 593
579 165 158 385
636 158 579 165
158 165 160 385
160 385 165 593
139 430 457 521
20 144 21 186
296 549 372 457
296 372 307 457
516 307 12 457
550 457 430 521
160 162 164 165
549 457 550 521
649 517 650 651
411 98 299 239
77 80 79 86
78 112 232 341
111 242 112 449
110 111 112 449
85 100 104 525
77 449 444 651
627 71 652 308
70 310 71 312
50 70 69 72
627 71 308 311
254 369 120 370
23 27 26 187
7 338 25 340
238 296 549 372
225 227 178 593
653 503 283 409
175 178 177 184
165 385 227 593
579 526 176 385
575 491 495 142
620 176 175 227
526 185 176 385
592 613 232 280
438 282 463 342
119 12 248 250
592 280 232 339
463 280 553 342
119 12 120 248
499 347 88 496
485 281 280 282
438 454 282 406
166 168 172 514
69 71 70 308
545 73 312 531
528 529 292 458
559 528 292 461
536 310 537 380
559 292 536 294
167 168 169 459
550 430 654 496
534 425 654 430
532 430 550 457
87 138 114 139
532 250 430 457
114 249 250 430
648 164 202 205
81 84 239 242
648 162 164 205
584 418 655 381
366 91 192 206
622 395 621 459
34 214 35 305
597 418 594 55
656 639 657 233
610 611 658 163
659 39 212 141
634 183 635 410
